gene_id,type,percent_disorder,average_dnds,fpkm,nc,gc,protein_length,gravy,cai,taxon
LmjF.31.3110,non-orphan,72.9580574,0.39464,29.5578,47.71,0.63,846,-1.0526,0.307,TRITRYP
LmjF.31.3120,non-orphan,0.15576324,0.11242,132.338,42.43,0.572,582,0.19914,0.462,TRITRYP
LmjF.31.3140,non-orphan,2.669404517,0.14972,33.8741,51.53,0.607,427,-0.11429,0.311,TRITRYP
LmjF.31.3145,non-orphan,24.02234637,0.13775,30.3595,52.57,0.566,119,-0.30588,0.3,TRITRYP
LmjF.31.3150,non-orphan,6.082406802,0.27438,34.8456,46.84,0.613,1469,-0.17801,0.355,TRITRYP
LmjF.31.3160,non-orphan,0,0.03114,39.6357,46.66,0.55,429,-0.21539,0.435,TRITRYP
LmjF.31.3170,non-orphan,3.597122302,0.1596,40.244,48.54,0.55,635,0.44032,0.377,TRITRYP
LmjF.32.0020,non-orphan,51.02040816,0.12719,28.0559,41.75,0.595,479,-1.00605,0.417,TRITRYP
LmjF.32.0030,non-orphan,20.37470726,0.21775,25.7046,50.03,0.579,367,-0.36567,0.374,TRITRYP
LmjF.32.0040,non-orphan,29.35323383,0.24913,38.514,41.99,0.601,342,-0.41842,0.393,TRITRYP
LmjF.32.0060,non-orphan,11.51241535,0.28291,13.47,51.94,0.611,383,-0.19817,0.29,TRITRYP
LmjF.32.0090,non-orphan,15.93406593,0.30018,23.9799,49.6,0.595,304,-0.32072,0.362,TRITRYP
LmjF.32.0120,non-orphan,44.19014085,0.14848,21.4438,44.77,0.627,1076,-0.24665,0.401,TRITRYP
LmjF.32.0130,non-orphan,1.337792642,0.20072,19.8512,45.97,0.607,239,0.06151,0.365,TRITRYP
LmjF.32.0140,non-orphan,11.88747731,0.17811,17.3034,44.97,0.607,1042,-0.07102,0.39,TRITRYP
LmjF.32.0150,non-orphan,79.41454202,0.21836,15.481,42.76,0.623,999,-0.96847,0.395,TRITRYP
LmjF.32.0165,non-orphan,9.271523179,0.30038,29.988,46.58,0.59,91,-0.76264,0.342,TRITRYP
LmjF.32.0180,non-orphan,21.02272727,0.32071,14.7038,48.38,0.586,116,-0.35948,0.392,TRITRYP
LmjF.32.0190,non-orphan,6.400966184,0.24603,14.1996,46.86,0.629,768,0.03125,0.408,TRITRYP
LmjF.32.0200,non-orphan,65.32066508,0.35141,14.9453,49.43,0.619,361,-0.68532,0.293,TRITRYP
LmjF.32.0220,non-orphan,34.62246777,0.36748,38.1772,45.89,0.611,1026,-0.48704,0.334,TRITRYP
LmjF.32.0240,non-orphan,39.65065502,0.42328,10.2646,47.51,0.64,1085,-0.2977,0.339,TRITRYP
LmjF.32.0250,non-orphan,50.70422535,0.31489,21.9419,42.54,0.643,1786,-0.46859,0.408,TRITRYP
LmjF.32.0270,non-orphan,14.39060206,0.28225,36.9265,42.26,0.604,1302,-0.13495,0.469,TRITRYP
LmjF.32.0280,non-orphan,7.823129252,0.1238,15.1049,43.88,0.6,234,-0.09188,0.434,TRITRYP
LmjF.32.0300,non-orphan,53.46294046,0.52237,21.9082,48.62,0.626,763,-0.35937,0.326,TRITRYP
LmjF.32.0310,non-orphan,13.70262391,0.13117,24.0783,43.39,0.61,1655,-0.19354,0.43,TRITRYP
LmjF.32.0320,non-orphan,0,0.31604,13.7251,50.84,0.603,250,-0.1224,0.34,TRITRYP
LmjF.32.0340,non-orphan,52.63157895,0.53144,19.1334,49.94,0.643,624,-0.36555,0.324,TRITRYP
LmjF.32.0350,non-orphan,44.90566038,0.08438,90.0483,40.1,0.635,470,-0.62702,0.507,TRITRYP
LmjF.32.0360,non-orphan,63.84976526,0.24001,49.0511,44.89,0.672,366,-0.5724,0.474,TRITRYP
LmjF.32.0370,non-orphan,6.037735849,0.18831,21.1489,41.37,0.619,735,-0.15442,0.433,TRITRYP
LmjF.32.0410,non-orphan,20.36585366,0.24473,20.6002,45.79,0.632,760,-0.33026,0.37,TRITRYP
LmjF.32.0420,non-orphan,12.59640103,0.19998,24.2405,45.94,0.604,718,-0.489,0.378,TRITRYP
LmjF.32.0440,non-orphan,10.82621083,0.23544,26.7512,51.14,0.595,291,0.08729,0.312,TRITRYP
LmjF.32.0470,non-orphan,21.08626198,0.32583,44.4685,50.66,0.598,879,-0.36564,0.321,TRITRYP
LmjF.32.0477,non-orphan,0,0.31349,73.992,51.73,0.462,101,-0.39703,0.21,TRITRYP
LmjF.32.0480,non-orphan,40.18058691,0.1412,18.4181,57.13,0.529,383,-0.7201,0.227,TRITRYP
LmjF.32.0490,non-orphan,2.281368821,0.11409,43.259,56.39,0.524,203,-0.19704,0.296,TRITRYP
LmjF.32.0500,non-orphan,7.1875,0.43666,25.305,57.08,0.491,260,-0.08885,0.247,TRITRYP
LmjF.32.0540,non-orphan,6.304728546,0.35531,26.993,45.14,0.586,511,0.54344,0.429,TRITRYP
LmjF.32.0550,non-orphan,0.578034682,0.25401,26.1228,42.82,0.569,113,-0.61239,0.446,TRITRYP
LmjF.32.0560,non-orphan,5.462184874,0.26954,56.8841,49.54,0.597,178,-0.1,0.339,TRITRYP
LmjF.32.0580,non-orphan,55.57275542,0.17563,14.0325,45.33,0.623,586,-0.64061,0.356,TRITRYP
LmjF.32.0590,non-orphan,26.32978723,0.15345,16.3034,46.39,0.588,316,-0.68608,0.373,TRITRYP
LmjF.32.0600,non-orphan,10.67738232,0.26813,20.5466,44.39,0.624,811,-0.22959,0.391,TRITRYP
LmjF.32.0610,non-orphan,1.891252955,0.10682,13.0043,41.74,0.633,363,-0.00771,0.417,TRITRYP
LmjF.32.0620,non-orphan,65.99552573,0.20534,12.0931,45.8,0.668,387,-0.92016,0.324,TRITRYP
LmjF.32.0640,non-orphan,24.66165414,0.11743,53.4182,44.28,0.603,605,-0.42,0.392,TRITRYP
LmjF.32.0650,non-orphan,14.03508772,0.18988,15.7159,46.88,0.615,282,-0.25603,0.355,TRITRYP
LmjF.32.0660,non-orphan,36.80297398,0.14487,19.925,49.88,0.59,209,-0.41053,0.383,TRITRYP
LmjF.32.0670,non-orphan,12.98342541,0.17772,15.3817,45.61,0.602,302,-0.11623,0.343,TRITRYP
LmjF.32.0710,non-orphan,1.123595506,0.19692,11.1624,46.11,0.581,296,-0.15372,0.406,TRITRYP
LmjF.32.0720,non-orphan,18.11460259,0.03248,49.4128,41.92,0.593,481,-0.24719,0.456,TRITRYP
LmjF.32.0730,non-orphan,33.33333333,0.28927,34.9915,46.85,0.638,597,-0.39029,0.389,TRITRYP
LmjF.32.0740,non-orphan,1.113585746,0.50468,20.2725,50.19,0.635,389,0.03239,0.336,TRITRYP
LmjF.32.0750,non-orphan,38.30508475,0.18407,385.514,31.85,0.661,235,-0.29021,0.622,TRITRYP
LmjF.32.0760,non-orphan,0.561797753,0.16001,16.1881,43.02,0.616,296,0.17399,0.453,TRITRYP
LmjF.32.0770,non-orphan,16.85261304,0.30385,15.094,44.71,0.642,1643,0.02106,0.394,TRITRYP
LmjF.32.0780,non-orphan,18.23480433,0.34637,25.4227,44.89,0.6,1141,-0.27467,0.394,TRITRYP
LmjF.32.0790,non-orphan,24.88888889,0.02509,14.5238,45.87,0.622,165,-0.1,0.455,TRITRYP
LmjF.32.0800,non-orphan,6.134453782,0.69422,10.7348,52.02,0.612,1130,-0.22327,0.284,TRITRYP
LmjF.32.0810,non-orphan,20.86834734,0.15662,12.1803,41.16,0.607,1368,-0.09013,0.467,TRITRYP
LmjF.32.0830,non-orphan,62.92775665,0.3626,28.3268,45.14,0.627,466,-0.65622,0.416,TRITRYP
LmjF.32.0840,non-orphan,60.85470085,0.06481,37.0847,34.13,0.644,525,-0.56876,0.616,TRITRYP
LmjF.32.0860,non-orphan,15.89205397,0.24041,16.3049,48.45,0.629,607,-0.17858,0.328,TRITRYP
LmjF.32.0930,non-orphan,7.591623037,0.32723,15.6733,49.26,0.639,704,0.0044,0.328,TRITRYP
LmjF.32.0940,non-orphan,12.09964413,0.46592,17.0144,49.19,0.642,1064,0.02049,0.307,TRITRYP
LmjF.32.0960,non-orphan,15.10574018,0.08654,33.0117,43.98,0.611,271,-0.32657,0.462,TRITRYP
LmjF.32.0970,non-orphan,41.29989765,0.32634,22.5483,45.8,0.652,1894,-0.27445,0.376,TRITRYP
LmjF.32.0980,non-orphan,41.61290323,0.14328,8.2684,47.21,0.607,560,-0.23518,0.404,TRITRYP
LmjF.32.0990,non-orphan,49.3316359,0.36719,11.3103,50.82,0.635,1511,-0.23739,0.305,TRITRYP
LmjF.32.1010,non-orphan,29.39958592,0.25521,22.5638,45.62,0.608,423,-0.37872,0.364,TRITRYP
LmjF.32.1020,non-orphan,24.56946039,0.14251,24.0901,44.01,0.59,811,-0.31825,0.399,TRITRYP
LmjF.32.1030,non-orphan,5.693950178,0.25078,14.8836,48.53,0.588,221,-0.39638,0.362,TRITRYP
LmjF.32.1060,non-orphan,24.96217852,0.06196,41.9342,41.97,0.598,601,-0.56007,0.474,TRITRYP
LmjF.32.1080,non-orphan,0,0.0798,59.6035,42.56,0.589,188,-0.67819,0.49,TRITRYP
LmjF.32.1140,non-orphan,36.82795699,0.365,16.3649,49.39,0.63,684,-0.3848,0.335,TRITRYP
LmjF.32.1150,non-orphan,2.465753425,0.38387,30.0412,51,0.59,305,-0.07016,0.365,TRITRYP
LmjF.32.1170,non-orphan,8.860759494,0.52186,24.3732,49.46,0.611,414,0.21184,0.315,TRITRYP
LmjF.32.1210,non-orphan,9.407665505,0.15082,17.8817,43.08,0.59,801,-0.16717,0.41,TRITRYP
LmjF.32.1220,non-orphan,38.62310385,0.21905,26.4918,43.72,0.621,797,-0.44617,0.379,TRITRYP
LmjF.32.1240,non-orphan,11.24620061,0.18991,17.1775,42.29,0.618,927,0.06742,0.44,TRITRYP
LmjF.32.1260,non-orphan,8.550185874,0.1278,28.6049,40.29,0.603,478,-0.21444,0.463,TRITRYP
LmjF.32.1270,non-orphan,37.96856106,0.37945,19.4049,49.45,0.593,767,-0.39935,0.348,TRITRYP
LmjF.32.1290,non-orphan,18.72,0.21491,21.2869,45.08,0.605,565,-0.31009,0.389,TRITRYP
LmjF.32.1310,non-orphan,49.32126697,0.50962,18.3541,50.29,0.618,382,-0.50576,0.311,TRITRYP
LmjF.32.1320,non-orphan,50.91210614,0.33824,27.9317,47.03,0.619,543,-0.81952,0.3,TRITRYP
LmjF.32.1350,non-orphan,14.53831041,0.37479,12.8616,52.52,0.607,449,-0.16993,0.322,TRITRYP
LmjF.32.1360,non-orphan,25.13297872,0.15772,17.5041,44.18,0.614,692,-0.28107,0.392,TRITRYP
LmjF.32.1370,non-orphan,38.23529412,0.12504,36.2621,42.32,0.597,790,-0.3957,0.45,TRITRYP
LmjF.32.1380,non-orphan,37.37864078,0.53416,4.6705,49.73,0.648,352,-0.33977,0.344,TRITRYP
LmjF.32.1390,non-orphan,19.7044335,0.2613,20.322,44.51,0.616,752,0.00346,0.388,TRITRYP
LmjF.32.1400,non-orphan,36.77898344,0.38681,5.7156,49.78,0.621,1691,-0.35961,0.32,TRITRYP
LmjF.32.1410,non-orphan,4.893617021,0.29069,13.7527,50.54,0.604,410,-0.0139,0.333,TRITRYP
LmjF.32.1420,non-orphan,6,0.34109,11.1009,46.31,0.61,690,-0.00783,0.363,TRITRYP
LmjF.32.1430,non-orphan,54.23302598,0.3101,16.3042,45.37,0.622,1133,-0.44122,0.376,TRITRYP
LmjF.32.1450,non-orphan,17.64705882,0.13183,16.362,44.2,0.607,161,-0.57826,0.386,TRITRYP
LmjF.32.1470,non-orphan,28.02359882,0.24507,26.4023,50.89,0.559,279,-0.43728,0.337,TRITRYP
LmjF.32.1480,non-orphan,22.55639098,0.08957,17.9741,44.89,0.591,472,-0.60614,0.369,TRITRYP
LmjF.32.1490,non-orphan,51.6,0.14285,21.1547,42.09,0.582,190,-1.52211,0.402,TRITRYP
LmjF.32.1495,non-orphan,20,0.68657,15.3621,55.86,0.595,375,-0.30107,0.292,TRITRYP
LmjF.32.1500,non-orphan,31.87660668,0.07137,39.2306,40.83,0.612,718,-0.41978,0.499,TRITRYP
LmjF.32.1520,non-orphan,10.2739726,0.56843,19.2822,52.42,0.596,524,-0.13702,0.305,TRITRYP
LmjF.32.1540,non-orphan,16.11842105,0.35011,16.2356,46.56,0.622,244,-0.25082,0.406,TRITRYP
LmjF.32.1550,non-orphan,22.99349241,0.2408,10.9104,48.84,0.623,401,-0.37382,0.351,TRITRYP
LmjF.32.1560,non-orphan,20.96114519,0.39553,12.9701,50.59,0.627,918,-0.10665,0.302,TRITRYP
LmjF.32.1600,non-orphan,77.99174691,0.59405,12.5556,51.93,0.63,667,-0.65742,0.276,TRITRYP
LmjF.32.1610,non-orphan,5.413105413,0.18747,42.9781,43.94,0.578,291,-0.3165,0.394,TRITRYP
LmjF.32.1620,non-orphan,10.0362757,0.3697,11.808,50.3,0.611,767,-0.1412,0.315,TRITRYP
LmjF.32.1640,non-orphan,14.89361702,0.25151,23.5139,47.39,0.607,222,-0.2964,0.364,TRITRYP
LmjF.32.1660,non-orphan,67.75510204,0.44833,14.7151,48.47,0.631,1165,-0.63631,0.326,TRITRYP
LmjF.32.1670,non-orphan,1.983002833,0.12511,9.3891,45.21,0.611,293,-0.22218,0.419,TRITRYP
LmjF.32.1680,non-orphan,35.20408163,0.16004,106.87,39.14,0.591,136,-0.78456,0.493,TRITRYP
LmjF.32.1710,non-orphan,25.17099863,0.43484,6.0943,51.56,0.619,671,-0.31684,0.319,TRITRYP
LmjF.32.1720,non-orphan,22.01017812,0.27647,13.6888,45.16,0.635,726,-0.16915,0.386,TRITRYP
LmjF.32.1740,non-orphan,20.10582011,0.08049,34.3339,34.92,0.612,129,-0.86434,0.573,TRITRYP
LmjF.32.1750,non-orphan,18.21428571,0.13956,23.1754,43.97,0.615,780,-0.19615,0.429,TRITRYP
LmjF.32.1770,non-orphan,26.87609075,0.19901,26.6397,44.06,0.614,513,-0.54834,0.389,TRITRYP
LmjF.32.1780,non-orphan,5.220883534,0.29468,19.0775,41.34,0.589,189,-0.65291,0.452,TRITRYP
LmjF.32.1790,non-orphan,5.882352941,0.29649,11.8384,47.86,0.621,654,-0.02125,0.358,TRITRYP
LmjF.32.1800,non-orphan,88.11881188,0.54905,13.9938,53.6,0.634,243,-1.19959,0.321,TRITRYP
LmjF.32.1802,non-orphan,46.94835681,0.33265,15.3945,46.25,0.599,153,-0.73922,0.322,TRITRYP
LmjF.32.1810,non-orphan,25.73426573,0.22794,7.7179,47.5,0.596,655,-0.23878,0.375,TRITRYP
LmjF.32.1840,non-orphan,6.338028169,0.02032,58.2382,46.04,0.565,224,-0.27857,0.438,TRITRYP
LmjF.32.1860,non-orphan,27.21518987,0.47433,8.1259,49.44,0.645,414,-0.21908,0.34,TRITRYP
LmjF.32.1870,non-orphan,36.49635036,0.58438,14.0058,51,0.601,625,-0.10096,0.308,TRITRYP
LmjF.32.1880,non-orphan,27.0602706,0.54509,7.1948,51.81,0.606,753,-0.10704,0.315,TRITRYP
LmjF.32.1910,non-orphan,23.33333333,0.32022,46.9178,44.92,0.618,450,-0.45911,0.389,TRITRYP
LmjF.32.1920,non-orphan,0,0.1221,25.4958,40.41,0.58,468,0.18697,0.432,TRITRYP
LmjF.32.1930,non-orphan,80.61831153,0.57558,39.0491,48.36,0.63,781,-0.81716,0.366,TRITRYP
LmjF.32.1940,non-orphan,15.92689295,0.11216,27.7938,40.16,0.612,323,-0.35573,0.485,TRITRYP
LmjF.32.1950,non-orphan,47.31404959,0.73519,20.2451,44.89,0.626,424,-0.43939,0.362,TRITRYP
LmjF.32.1975,non-orphan,92.38095238,0.41891,14.7809,52.67,0.6,150,-1.01867,0.247,TRITRYP
LmjF.32.1980,non-orphan,47.76119403,0.29064,29.8425,45.36,0.611,744,-0.59462,0.382,TRITRYP
LmjF.32.1990,non-orphan,100,0.46576,33.7316,55.47,0.658,111,-1.30451,0.389,TRITRYP
LmjF.32.2000,non-orphan,27.73892774,0.34576,34.4329,54.76,0.612,369,-0.39323,0.301,TRITRYP
LmjF.32.2010,non-orphan,21.18644068,0.22661,21.9708,46.5,0.613,294,-0.35204,0.379,TRITRYP
LmjF.32.2040,non-orphan,45.4244763,0.60952,22.6297,51.17,0.622,847,-0.40638,0.313,TRITRYP
LmjF.32.2050,non-orphan,41.05960265,0.18077,12.6078,45.85,0.582,91,-0.63846,0.311,TRITRYP
LmjF.32.2060,non-orphan,6.075949367,0.30282,18.8151,45.84,0.62,730,0.31069,0.381,TRITRYP
LmjF.32.2100,non-orphan,49.57020057,0.39123,9.7471,51.84,0.63,987,-0.44053,0.301,TRITRYP
LmjF.32.2110,non-orphan,25.02685285,0.38398,13.257,46.95,0.604,871,-0.44099,0.358,TRITRYP
LmjF.32.2120,non-orphan,0,0.23494,19.9575,41.35,0.549,501,0.60818,0.441,TRITRYP
LmjF.32.2130,non-orphan,66.59482759,0.2379,18.458,44.44,0.639,404,-0.64728,0.386,TRITRYP
LmjF.32.2140,non-orphan,0.518134715,0.12625,19.0468,50.36,0.574,133,0.26541,0.366,TRITRYP
LmjF.32.2160,non-orphan,13.77289377,0.19542,10.2941,42.99,0.627,1305,-0.06084,0.399,TRITRYP
LmjF.32.2170,non-orphan,30.89552239,0.43538,13.7949,49.96,0.625,610,-0.16672,0.306,TRITRYP
LmjF.32.2200,non-orphan,19.44186047,0.1938,22.9548,46.7,0.621,1015,-0.16867,0.371,TRITRYP
LmjF.32.2210,non-orphan,11.27819549,0.18379,31.2727,43.54,0.599,206,-0.38301,0.36,TRITRYP
LmjF.32.2220,non-orphan,48.86128364,0.3926,41.4833,50.57,0.607,1389,-0.67905,0.335,TRITRYP
LmjF.32.2230,non-orphan,31.93277311,0.2466,21.5498,44.38,0.619,773,-0.43545,0.408,TRITRYP
LmjF.32.2240,non-orphan,33.69036027,0.40143,18.1424,46.15,0.627,967,-0.27208,0.341,TRITRYP
LmjF.32.2260,non-orphan,42.51012146,0.2426,76.3536,46.47,0.606,187,-0.59037,0.471,TRITRYP
LmjF.32.2270,non-orphan,70.64413939,0.48792,40.2781,45.41,0.649,887,-0.71251,0.344,TRITRYP
LmjF.32.2280,non-orphan,11.04651163,0.06534,21.9813,42.94,0.612,284,-0.80634,0.436,TRITRYP
LmjF.32.2290,non-orphan,26.03719599,0.42899,27.1214,46.01,0.613,639,0.09437,0.394,TRITRYP
LmjF.32.2310,non-orphan,26.68735454,0.46183,15.2355,49.47,0.632,1229,-0.08698,0.324,TRITRYP
LmjF.32.2330,non-orphan,0,0.16796,18.6165,42.29,0.602,139,0.97914,0.421,TRITRYP
LmjF.32.2340,non-orphan,1.256281407,0.0904,17.3529,39.33,0.597,338,-0.09112,0.537,TRITRYP
LmjF.32.2350,non-orphan,28.97727273,0.66814,13.1104,52.32,0.67,644,0.1382,0.336,TRITRYP
LmjF.32.2360,non-orphan,13.860252,0.46026,10.1719,49.17,0.639,813,-0.20664,0.328,TRITRYP
LmjF.32.2370,non-orphan,0,0.193,16.6169,40.36,0.596,278,0.56547,0.417,TRITRYP
LmjF.32.2400,non-orphan,1.98019802,0.41662,25.1807,47,0.617,344,-0.14419,0.375,TRITRYP
LmjF.32.2420,non-orphan,29.84126984,0.5132,9.4225,48.36,0.643,885,-0.1148,0.333,TRITRYP
LmjF.32.2430,non-orphan,27.84810127,0.25406,7.7065,45.3,0.633,414,-0.34807,0.38,TRITRYP
LmjF.32.2440,non-orphan,23.31932773,0.15301,17.627,41.15,0.631,416,-0.45914,0.4,TRITRYP
LmjF.32.2450,non-orphan,1.201923077,0.11684,13.6689,43.91,0.62,356,-0.13006,0.396,TRITRYP
LmjF.32.2460,non-orphan,58.80654475,0.6267,4.9941,52.55,0.653,979,-0.45894,0.263,TRITRYP
LmjF.32.2480,non-orphan,53.09278351,0.3015,32.3275,51.13,0.595,134,-0.27463,0.331,TRITRYP
LmjF.32.2490,non-orphan,27.40740741,0.32024,15.2556,45.74,0.649,1290,-0.11016,0.381,TRITRYP
LmjF.32.2500,non-orphan,0,0.05876,20.7711,38.87,0.597,162,-0.44877,0.444,TRITRYP
LmjF.32.2510,non-orphan,21.24137931,0.5237,17.1095,46.52,0.638,665,-0.01895,0.36,TRITRYP
LmjF.32.2530,non-orphan,13.7524558,0.35969,13.8032,43.92,0.649,958,0.01722,0.383,TRITRYP
LmjF.32.2560,non-orphan,9.205020921,0.39469,30.617,44.64,0.637,418,0.09139,0.356,TRITRYP
LmjF.32.2580,non-orphan,18.40354767,0.20719,17.4744,43.76,0.632,391,-0.14246,0.421,TRITRYP
LmjF.32.2590,non-orphan,66.66666667,0.28698,28.2407,43.72,0.601,132,-0.84318,0.405,TRITRYP
LmjF.32.2600,non-orphan,35.85714286,0.43395,10.6355,46.9,0.631,640,-0.15938,0.341,TRITRYP
LmjF.32.2610,non-orphan,85.41862653,0.36387,37.6827,44.31,0.652,1003,-0.7667,0.416,TRITRYP
LmjF.32.2620,non-orphan,0,0.05724,27.3181,38.64,0.603,302,-0.67715,0.514,TRITRYP
LmjF.32.2630,non-orphan,0,0.05177,37.0601,37.08,0.565,270,-0.68,0.561,TRITRYP
LmjF.32.2640,non-orphan,0,0.18157,47.7571,36.75,0.609,399,-0.02907,0.528,TRITRYP
LmjF.32.2670,non-orphan,40.35294118,0.16412,13.6868,46.4,0.639,790,-0.62911,0.376,TRITRYP
LmjF.32.2680,non-orphan,11.48648649,0.19966,17.4047,44.73,0.59,384,-0.25443,0.435,TRITRYP
LmjF.32.2700,non-orphan,10.69023569,0.30219,9.7792,48.26,0.624,1128,0.04796,0.328,TRITRYP
LmjF.32.2730,non-orphan,16.74249318,0.23836,10.6548,42.24,0.653,1039,-0.12878,0.451,TRITRYP
LmjF.32.2740,non-orphan,0,0.19589,16.1609,50.66,0.572,229,0.31659,0.342,TRITRYP
LmjF.32.2750,non-orphan,31.13506658,0.45404,23.9231,45.53,0.621,1517,-0.21872,0.381,TRITRYP
LmjF.32.2780,non-orphan,11.52512998,0.30724,11.3164,46.12,0.643,1094,0.07349,0.367,TRITRYP
LmjF.32.2790,non-orphan,0,0.28552,13.0314,48.69,0.644,188,-0.03777,0.333,TRITRYP
LmjF.32.2800,non-orphan,22.06605762,0.22936,19.4672,41.56,0.621,1363,0.44923,0.449,TRITRYP
LmjF.32.2830,non-orphan,71.56196944,0.5941,17.6043,50.27,0.643,1118,-0.56315,0.317,TRITRYP
LmjF.32.2840,non-orphan,59.04761905,0.68921,11.8241,50.99,0.644,570,-0.30439,0.31,TRITRYP
LmjF.32.2850,non-orphan,26.43678161,0.23089,21.746,41.43,0.632,636,-0.46557,0.457,TRITRYP
LmjF.32.2860,non-orphan,43.08641975,0.30382,20.7208,48.87,0.637,750,-0.39267,0.378,TRITRYP
LmjF.32.2870,non-orphan,5.656934307,0.38647,20.2377,47.11,0.605,488,0.26291,0.382,TRITRYP
LmjF.32.2880,non-orphan,64.01225115,0.4571,22.3329,46.93,0.632,593,-0.2543,0.303,TRITRYP
LmjF.32.2885,non-orphan,22.02380952,0.4859,18.463,53.24,0.63,444,-0.07635,0.323,TRITRYP
LmjF.32.2900,non-orphan,48.820059,0.1921,49.0493,42.62,0.597,618,-0.87702,0.45,TRITRYP
LmjF.32.2910,non-orphan,16.41684511,0.28785,25.6723,45.88,0.597,1341,-0.2217,0.368,TRITRYP
LmjF.32.2920,non-orphan,10.80050826,0.21035,20.8595,48.6,0.574,727,-0.21912,0.329,TRITRYP
LmjF.32.2930,non-orphan,35.81661891,0.27719,11.3099,47.23,0.587,638,-0.55784,0.339,TRITRYP
LmjF.32.2940,non-orphan,4.36746988,0.23247,19.2203,51.09,0.562,604,-0.28493,0.302,TRITRYP
LmjF.32.2970,non-orphan,49.18918919,0.06579,31.3338,48.36,0.531,125,-0.6512,0.273,TRITRYP
LmjF.32.2985,non-orphan,0.387596899,0.3838,26.559,55.13,0.497,198,-0.2803,0.199,TRITRYP
LmjF.32.2990,non-orphan,0.122100122,0.25611,29.6885,58.8,0.516,759,0.02055,0.217,TRITRYP
LmjF.32.2995,non-orphan,0,0.12617,31.7242,49.54,0.551,107,0.6243,0.34,TRITRYP
LmjF.32.3000,non-orphan,6.911447084,0.24509,26.8906,53.48,0.575,403,0.35087,0.295,TRITRYP
LmjF.32.3010,non-orphan,14.97326203,0.15298,89.4658,39.19,0.602,875,-0.29806,0.518,TRITRYP
LmjF.32.3030,non-orphan,47.81491003,0.39013,25.0535,52.05,0.591,329,-0.76231,0.302,TRITRYP
LmjF.32.3050,non-orphan,6.892655367,0.11998,23.0338,43.07,0.611,825,-0.14606,0.433,TRITRYP
LmjF.32.3060,non-orphan,36.35578584,0.24467,15.4453,50.04,0.63,1098,-0.31794,0.31,TRITRYP
LmjF.32.3065,non-orphan,0,0.16732,13.9849,50.76,0.598,117,0.54615,0.383,TRITRYP
LmjF.32.3070,non-orphan,36.82170543,0.39064,14.7948,46.9,0.631,456,-0.41689,0.39,TRITRYP
LmjF.32.3090,non-orphan,54.6437659,0.68207,14.1223,51.41,0.633,1512,-0.34167,0.273,TRITRYP
LmjF.32.3160,non-orphan,52.58724428,0.37455,17.6177,48.69,0.619,771,-0.42062,0.338,TRITRYP
LmjF.32.3170,non-orphan,17.33333333,0.00661,38.3891,39.33,0.604,165,-0.45879,0.486,TRITRYP
LmjF.32.3180,non-orphan,7.776261937,0.27632,14.954,49.09,0.597,673,-0.05944,0.312,TRITRYP
LmjF.32.3190,non-orphan,14.01273885,0.28256,14.9455,47.41,0.625,1039,-0.00539,0.344,TRITRYP
LmjF.32.3200,non-orphan,31.44517066,0.42927,15.2162,48.55,0.636,1317,-0.31929,0.337,TRITRYP
LmjF.32.3210,non-orphan,3.956834532,0.0747,25.639,40.9,0.581,218,-0.30138,0.485,TRITRYP
LmjF.32.3230,non-orphan,41.8556701,0.14425,24.3582,41,0.626,425,-0.53577,0.444,TRITRYP
LmjF.32.3250,non-orphan,67.75300172,0.35696,35.8107,44.79,0.631,1106,-0.58463,0.377,TRITRYP
LmjF.32.3260,non-orphan,0.589970501,0.05185,35.5865,35.05,0.602,279,-0.26057,0.509,TRITRYP
LmjF.32.3290,non-orphan,28.33333333,0.08448,19.8728,43.91,0.614,240,-0.40333,0.396,TRITRYP
LmjF.32.3330,non-orphan,12.06896552,0.06141,12.9338,39.79,0.596,114,-0.5886,0.457,TRITRYP
LmjF.32.3340,non-orphan,9.897610922,0.26116,17.4824,46.75,0.64,1112,0.01898,0.36,TRITRYP
LmjF.32.3350,non-orphan,43.42774147,0.50064,13.1339,45.71,0.64,1317,-0.43394,0.367,TRITRYP
LmjF.32.3360,non-orphan,26.3868066,0.26035,21.1369,45.19,0.64,607,-0.18764,0.391,TRITRYP
LmjF.32.3380,non-orphan,14.17425228,0.34755,12.0967,45.97,0.645,709,-0.25839,0.343,TRITRYP
LmjF.32.3390,non-orphan,25.90909091,0.08955,19.7881,38.54,0.634,600,-0.12567,0.49,TRITRYP
LmjF.32.3400,non-orphan,2.111613876,0.33301,76.5065,43.31,0.596,603,-0.04561,0.436,TRITRYP
LmjF.32.3430,non-orphan,75.43252595,0.33004,16.2599,46.1,0.665,807,-0.58092,0.352,TRITRYP
LmjF.32.3440,non-orphan,6.193548387,0.36795,9.428,48.26,0.655,715,0.05622,0.352,TRITRYP
LmjF.32.3450,non-orphan,63.75404531,0.41048,33.6057,43.76,0.652,558,-0.59337,0.379,TRITRYP
LmjF.32.3460,non-orphan,8.333333333,0.29202,13.5791,43.19,0.642,312,0.15833,0.399,TRITRYP
LmjF.32.3470,non-orphan,23.28548644,0.28131,9.5581,43,0.64,567,-0.16614,0.396,TRITRYP
LmjF.32.3480,non-orphan,17.09770115,0.24056,14.9696,44.88,0.658,636,-0.01132,0.406,TRITRYP
